region,market,enodeb_gnodeb,filedate,00:15,00:30,00:45,01:00,01:15,01:30,01:45,02:00,02:15,02:30,02:45,03:00,03:15,03:30,03:45,04:00,04:15,04:30,04:45,05:00,05:15,05:30,05:45,06:00,06:15,06:30,06:45,07:00,07:15,07:30,07:45,08:00,08:15,08:30,08:45,09:00,09:15,09:30,09:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,00:00,risk
e_carr_tenn,190,242391,2025-09-06,5.1,1.45,12.6,3.15,4.77,4.08,7.47,4.72,8.92,6.62,7.22,6.43,11.12,8.98,9.99,2.19,2.15,8.04,1.45,11.97,11.08,13.09,8.08,13.99,10.03,3.85,11.31,7.41,7.82,3.2,3.79,9.4,6.54,4.05,9.83,7.54,5.91,9.86,3.68,11.89,3.92,6.15,4.62,12.9,0.54,3.29,10.32,4.83,7.01,10.93,4.39,14.11,12.79,10.97,1.57,2.48,8.99,6.24,7.84,9.04,5.49,10.38,7.82,14.69,7.52,7.33,6.44,13.18,2.2,10.02,11.44,12.99,6.29,14.6,7.66,0.37,8.93,13.32,10.61,7.53,12.77,6.16,3.87,5.92,10.22,14.1,1.54,8.34,13.75,14.46,1.77,3.6,2.76,13.95,7.41,11.41,0
e_nor_cal,032,106125,2025-09-06,2.05,12.48,11.74,3.59,10.95,14.58,6.73,12.6,10.12,7.56,3.43,3.92,9.37,11.51,14.15,1.9,13.22,4.58,4.26,5.18,9.49,4.29,7.17,0.73,9.99,1.71,13.25,6.74,11.8,8.91,4.64,13.66,7.95,8.66,1.34,12.08,4.35,12.53,12.4,9.21,8.22,14.77,1.53,12.34,11.19,3.61,9.57,4.83,7.25,7.84,13.26,10.0,3.91,14.69,11.54,6.89,0.65,7.83,0.15,7.65,10.77,11.99,5.38,3.2,4.99,4.8,8.34,11.86,6.91,0.33,11.28,1.71,5.21,0.49,7.63,6.7,10.47,2.89,12.79,13.09,7.02,4.09,8.24,8.36,9.62,12.92,1.32,1.45,14.03,6.94,6.02,12.6,5.29,9.59,8.85,10.41,0
e_carr_tenn,190,564656,2025-09-06,10.88,10.76,7.84,13.21,13.11,6.98,6.92,1.14,8.69,7.96,10.71,10.63,5.11,14.46,12.64,11.49,0.12,14.75,9.75,1.7,13.06,13.46,6.02,5.69,12.91,14.87,14.72,0.36,14.97,9.79,10.01,0.16,0.16,10.26,9.64,1.9,5.06,10.34,14.72,6.75,4.3,12.34,14.87,0.86,12.36,13.44,7.1,12.27,5.67,7.23,3.28,5.14,2.08,0.69,14.53,12.11,6.64,1.92,8.79,11.44,11.21,10.84,6.08,7.91,6.09,13.01,14.67,4.53,4.81,9.64,1.7,2.68,2.31,12.27,5.65,8.68,7.05,11.01,5.66,3.12,14.24,9.27,1.56,6.77,10.23,7.23,11.89,6.18,9.0,0.4,3.08,13.5,6.54,9.31,13.15,2.76,0
e_carr_tenn,190,434211,2025-09-08,2.17,2.57,11.88,8.31,6.21,2.85,11.97,3.88,14.86,0.24,6.95,14.9,3.05,3.75,14.41,3.25,0.1,9.77,4.65,8.55,9.01,1.05,0.82,7.31,1.82,11.89,0.92,8.87,11.67,2.88,4.75,8.61,11.18,2.88,13.48,14.94,8.8,14.83,12.11,13.39,5.41,8.79,9.6,6.5,0.09,10.85,6.39,0.57,12.94,3.6,11.03,7.23,14.94,8.89,14.8,4.75,10.53,9.23,10.43,6.43,5.28,13.09,13.2,12.02,1.5,14.69,2.6,0.75,8.78,4.88,5.79,3.21,12.02,0.86,8.62,8.1,6.64,6.52,7.61,7.8,3.92,7.83,0.54,7.26,14.55,0.11,13.81,3.42,14.4,0.52,5.58,2.11,12.76,11.46,10.63,4.69,0
e_carr_tenn,191,261125,2025-09-06,0.18,1.88,1.64,5.52,6.81,2.61,2.67,13.57,13.85,3.09,11.4,13.38,9.1,6.56,7.8,0.49,0.73,1.61,5.87,11.85,12.55,6.86,0.35,8.99,5.92,13.23,8.1,13.85,8.78,4.51,3.17,0.01,9.06,3.72,7.49,2.73,0.95,12.31,5.57,3.44,3.26,8.74,9.98,3.84,8.69,12.39,1.49,6.46,11.04,11.99,7.16,11.01,2.55,7.27,13.53,1.85,14.24,6.78,13.3,13.72,14.87,12.52,1.16,6.76,7.37,7.25,4.86,14.01,1.2,8.32,11.02,11.36,8.07,13.7,10.44,11.1,7.44,2.24,10.17,11.45,9.7,9.65,14.64,3.78,3.29,11.9,5.9,12.71,10.12,11.69,7.55,14.35,11.17,11.56,13.47,7.49,0
e_carr_tenn,190,601647,2025-09-07,10.29,7.4,14.72,7.25,5.7,1.66,1.81,14.52,0.36,12.6,1.88,8.21,10.38,13.58,9.53,2.13,1.36,13.86,12.81,12.22,1.32,12.93,4.29,7.61,0.74,7.39,7.45,7.76,11.4,3.54,5.96,0.67,11.32,9.47,12.75,14.73,6.07,0.64,3.42,12.34,1.57,14.59,11.53,5.65,2.6,4.92,12.44,0.79,0.64,5.15,2.1,5.61,12.82,3.47,2.37,0.45,7.94,9.47,9.63,11.83,10.02,6.28,11.66,3.69,11.56,3.04,3.53,0.44,1.45,1.23,3.74,11.47,0.05,5.32,11.98,5.74,8.55,5.41,4.22,4.77,1.08,6.29,6.31,14.32,7.19,8.3,10.81,13.38,12.38,0.4,10.99,3.32,2.21,6.11,8.55,7.07,0
e_carr_tenn,190,223173,2025-09-08,1.78,5.28,10.63,6.02,13.69,5.31,3.0,7.01,3.56,14.99,5.53,14.09,11.87,3.72,5.31,6.1,8.54,4.44,13.97,6.21,2.14,5.95,7.72,2.83,3.38,4.63,0.64,7.28,6.23,3.21,3.49,3.64,7.42,13.33,0.31,8.4,1.98,7.22,10.94,4.01,12.49,11.6,1.66,3.05,6.04,11.69,3.82,0.02,5.35,6.37,1.07,13.8,12.29,2.9,7.5,12.3,2.0,9.64,0.39,4.12,3.81,4.36,7.86,5.31,9.84,7.21,14.3,1.89,5.45,14.42,2.81,9.73,9.89,6.91,9.22,1.76,10.39,10.36,7.38,8.98,3.38,10.09,2.73,14.91,3.12,6.65,5.92,6.65,14.45,14.92,9.58,0.58,7.72,7.46,3.46,11.3,0
e_carr_tenn,190,421175,2025-09-07,6.4,0.61,10.36,13.24,0.31,7.47,10.24,0.57,5.71,5.17,13.39,8.71,13.6,11.22,13.04,13.98,10.63,3.25,14.8,1.58,6.5,6.45,3.22,5.85,14.19,12.65,9.74,13.2,14.43,4.67,1.94,0.04,10.08,5.98,8.13,10.82,5.41,10.15,8.91,12.53,12.71,13.65,14.24,12.42,11.7,5.39,5.31,13.91,5.4,9.94,11.1,2.16,6.25,2.35,12.06,4.66,5.75,3.04,12.04,11.8,9.68,14.8,7.99,8.96,4.24,12.18,9.8,11.85,12.22,8.32,3.71,1.12,10.19,12.92,0.24,9.18,3.61,9.26,8.14,10.98,5.84,9.08,0.09,7.94,0.63,14.42,12.86,10.51,11.87,0.76,0.88,14.27,6.28,6.28,2.81,2.21,0
e_nor_cal,032,385095,2025-09-08,4.21,8.56,11.25,13.62,14.82,8.54,3.39,13.33,1.68,14.39,8.93,6.78,3.98,1.78,10.67,10.33,12.61,14.79,13.69,7.46,13.78,0.16,9.67,11.21,10.52,9.15,13.15,9.15,10.21,0.21,3.55,2.65,4.18,7.07,14.77,14.34,12.0,0.52,4.85,14.62,14.42,2.86,11.02,9.16,14.81,13.53,0.5,11.54,14.77,2.31,11.02,8.5,5.86,4.65,14.9,7.0,8.56,7.49,14.38,9.05,6.17,11.6,2.98,12.15,5.69,9.03,13.82,8.37,11.9,12.98,2.44,8.05,1.44,6.56,5.45,9.6,6.04,10.75,4.93,13.62,8.51,10.86,14.04,5.13,6.21,3.08,3.57,14.16,14.6,9.22,11.06,0.53,8.77,13.11,10.87,14.96,0
e_nor_cal,032,895396,2025-09-06,7.01,12.88,8.86,5.96,2.67,2.61,7.6,8.36,5.09,1.99,6.39,2.55,5.59,3.09,13.45,14.07,5.47,8.56,3.91,0.78,8.64,9.24,3.14,9.19,1.65,2.78,9.2,10.6,7.23,10.15,14.72,11.71,6.53,10.75,0.24,1.17,1.41,8.99,3.93,9.26,5.7,14.0,2.26,14.07,8.27,3.51,9.79,7.49,3.93,10.22,8.28,2.87,0.22,9.46,10.92,0.95,5.43,13.57,3.29,7.7,11.15,1.27,1.3,11.67,11.68,10.39,0.28,6.01,2.87,11.18,12.59,11.09,1.48,0.61,1.33,2.65,7.02,11.21,3.89,8.77,7.99,3.81,0.38,7.14,6.85,10.56,0.55,6.86,12.12,14.38,8.84,2.14,10.0,2.03,3.66,13.02,0
e_nor_cal,032,617142,2025-09-06,12.44,1.61,7.37,11.82,3.59,13.97,7.61,1.03,13.67,14.79,3.76,14.81,12.92,5.86,14.94,7.65,2.77,13.87,10.95,11.48,0.9,14.43,4.34,5.21,2.45,14.74,2.99,14.31,4.82,14.38,13.26,1.48,9.79,11.8,6.17,4.4,12.31,0.45,1.46,1.92,12.94,8.1,12.04,0.08,7.56,9.0,11.13,5.51,1.2,9.88,4.47,8.52,13.92,4.3,9.01,5.91,6.71,3.56,3.32,7.9,1.99,3.32,6.09,6.11,9.63,2.02,14.47,4.99,14.57,5.17,12.65,2.12,5.91,10.54,3.57,2.37,9.3,2.14,9.61,1.97,7.61,13.17,3.92,6.11,14.52,13.33,14.8,5.9,4.47,2.84,12.49,0.86,13.42,13.5,4.35,10.6,0
e_carr_tenn,190,438680,2025-09-06,5.68,8.51,8.05,11.39,11.6,12.17,13.29,3.08,10.55,0.41,9.31,3.5,6.84,11.6,7.26,1.41,12.68,2.53,13.59,4.09,9.19,0.33,10.98,9.22,12.79,8.86,2.06,10.07,11.92,0.19,2.49,14.97,4.01,4.34,0.59,8.7,11.48,2.24,6.89,8.05,1.03,1.4,2.61,4.56,11.68,5.93,10.38,2.99,0.67,2.49,8.02,7.37,5.33,13.94,6.31,4.17,10.14,2.69,6.29,3.91,5.59,12.21,12.85,14.63,2.8,13.27,2.45,5.39,10.94,5.35,13.31,10.97,11.24,7.24,5.46,9.65,9.41,14.45,12.39,12.6,7.52,13.03,9.85,4.68,0.88,10.87,9.13,5.08,9.79,4.08,2.92,4.14,9.32,2.39,5.44,1.01,0
e_carr_tenn,190,618541,2025-09-06,0.59,8.27,13.22,10.01,12.62,10.53,1.0,10.22,12.48,7.66,3.58,6.55,9.03,6.25,4.61,3.83,8.91,1.81,2.9,1.12,0.5,7.94,7.72,0.66,10.58,10.1,5.23,2.01,7.01,3.84,8.5,11.58,1.41,4.2,11.73,4.48,11.78,14.17,2.77,9.49,9.16,2.17,3.0,10.85,2.22,13.38,2.35,0.46,3.82,7.66,7.21,12.7,11.41,12.96,13.11,2.41,5.76,8.56,14.39,2.35,5.52,13.81,10.43,11.57,6.08,13.16,10.94,12.17,4.06,6.23,4.05,9.32,7.13,6.47,7.45,11.52,14.19,11.18,5.72,4.58,14.09,0.46,3.93,7.41,8.45,2.39,2.0,5.68,1.2,14.65,8.55,9.8,0.46,12.57,14.66,14.1,0
e_nor_cal,038,918574,2025-09-07,8.88,2.06,1.92,14.15,1.83,6.71,13.27,9.15,3.59,13.75,7.43,11.26,9.9,0.99,10.26,7.59,12.57,0.73,14.62,1.52,0.52,1.8,6.74,6.42,5.64,9.77,0.52,2.09,6.3,13.95,6.69,11.07,4.26,4.15,7.22,1.64,7.08,7.49,10.29,1.78,0.46,0.32,7.24,9.04,1.76,9.27,12.57,1.11,14.38,3.42,5.46,12.49,9.07,9.35,3.45,12.7,9.52,5.53,4.86,14.1,1.92,4.7,4.47,11.04,4.28,4.09,2.77,14.74,6.56,4.08,12.2,1.17,11.01,9.4,5.14,14.9,12.43,13.97,14.99,8.0,13.78,3.73,6.65,10.86,12.54,14.31,13.91,3.36,0.37,7.52,5.97,3.91,5.09,9.61,3.03,14.61,0
e_carr_tenn,190,394441,2025-09-07,13.25,5.34,7.13,10.93,11.85,3.93,8.09,14.48,12.16,12.95,6.88,11.34,0.62,7.96,13.54,8.1,13.51,14.3,7.07,4.32,10.19,2.24,11.98,1.72,0.51,5.45,1.94,0.82,1.2,7.8,11.58,5.32,5.78,3.5,8.01,12.85,11.36,0.04,14.29,13.73,10.73,3.68,3.02,4.33,0.17,14.74,12.11,4.0,4.73,5.2,1.05,6.62,9.66,2.11,2.38,4.95,9.35,3.53,0.37,3.03,0.18,14.57,10.07,0.97,10.14,5.46,13.96,7.05,3.4,9.05,7.22,0.22,10.92,0.68,4.5,7.61,11.98,8.6,7.43,13.08,1.75,5.89,6.16,0.69,7.58,3.35,9.71,1.76,9.79,8.17,11.4,9.93,10.15,12.95,12.36,6.18,0
e_nor_cal,038,122746,2025-09-07,1.49,3.22,12.68,2.19,5.88,6.97,5.38,14.26,10.4,3.38,5.81,2.52,3.45,3.87,8.63,4.18,0.96,14.05,0.89,0.79,12.43,2.43,3.78,10.89,12.61,2.63,4.43,13.59,4.56,3.63,11.31,7.52,13.87,1.59,14.17,0.94,8.51,12.76,5.12,6.67,5.33,12.22,6.94,0.02,14.1,9.18,1.25,11.77,12.61,14.56,11.11,3.82,5.78,0.59,5.3,2.12,4.52,5.88,9.01,3.94,14.24,13.76,8.79,11.98,5.01,12.62,12.44,9.13,6.93,9.41,5.34,12.49,6.98,2.73,14.81,3.3,13.74,0.35,0.24,9.83,0.07,8.52,7.56,5.82,14.81,11.12,8.88,0.65,5.02,10.12,12.97,0.37,14.08,3.94,0.03,9.98,0
e_carr_tenn,190,516040,2025-09-07,11.81,3.95,5.28,10.56,7.42,9.65,5.84,1.28,1.4,2.92,3.36,0.32,9.37,11.44,11.41,8.51,0.14,8.9,1.92,10.82,1.26,5.08,14.03,2.57,6.55,1.65,1.92,0.4,2.56,8.3,13.09,6.13,10.77,1.71,6.33,13.99,1.25,14.11,12.61,7.51,11.04,13.19,14.19,1.0,6.05,8.46,11.91,1.11,9.62,9.08,4.26,0.51,12.32,10.86,0.11,10.72,8.07,7.39,10.9,9.43,14.26,9.41,2.26,8.12,6.73,11.23,10.92,8.77,9.34,5.02,1.36,4.98,12.95,6.03,6.53,14.47,8.1,6.43,4.13,7.24,6.73,13.1,0.99,13.95,0.33,0.5,14.26,9.81,13.36,2.01,3.83,5.31,4.75,8.0,13.61,10.93,0
e_carr_tenn,190,164328,2025-09-08,9.97,14.78,10.19,10.94,11.07,0.83,13.21,8.99,10.8,9.3,4.21,6.03,9.36,7.87,2.19,3.38,4.31,11.83,14.28,1.98,8.38,7.9,5.28,6.59,7.31,11.43,9.42,8.52,3.65,5.65,6.35,6.0,14.73,13.38,2.94,12.36,2.7,0.63,2.14,2.31,13.86,11.98,14.01,13.05,11.43,13.39,8.1,12.46,2.95,12.8,7.13,11.12,9.44,0.33,0.93,2.73,4.73,1.19,8.96,2.06,1.75,1.19,14.84,1.72,12.87,14.41,3.12,14.34,11.79,6.28,11.79,4.14,9.97,12.5,14.95,7.48,0.05,11.58,0.28,4.15,11.91,11.94,10.05,9.78,2.03,10.14,6.84,6.82,3.36,4.47,4.5,1.4,13.64,7.66,10.52,2.74,0
e_nor_cal,032,774778,2025-09-07,3.5,14.83,5.89,12.44,5.53,5.33,7.56,6.26,10.16,0.44,3.55,2.45,10.18,11.4,9.79,7.98,8.91,4.3,13.65,4.36,7.56,14.1,4.57,7.09,2.4,14.12,3.28,11.68,14.57,5.07,12.99,14.53,7.83,13.07,5.34,14.05,12.99,0.66,7.79,1.28,6.36,14.3,12.51,1.4,14.81,10.45,5.34,0.92,5.01,3.4,1.05,5.37,12.59,13.77,10.37,3.88,14.42,3.68,13.8,7.28,14.43,0.41,12.16,1.76,7.08,3.46,0.73,14.12,2.03,8.02,11.18,4.54,9.99,5.34,2.07,10.65,8.96,14.73,9.33,7.34,0.3,1.54,1.33,10.33,12.09,13.36,6.59,10.78,14.89,1.56,13.48,0.8,10.34,5.96,3.55,10.78,0
e_nor_cal,032,135381,2025-09-07,6.05,11.59,2.18,5.16,7.84,10.87,4.8,10.72,8.1,12.67,2.05,5.95,9.45,6.64,3.24,0.77,4.19,14.81,0.01,10.02,14.4,5.83,3.08,10.34,8.28,13.09,11.77,13.97,7.4,2.27,11.66,8.98,11.15,14.35,13.13,10.75,0.01,12.85,4.56,4.42,11.11,14.36,11.51,7.2,4.96,10.84,9.18,3.82,13.95,0.7,3.09,14.19,0.32,12.45,5.67,8.83,6.02,10.96,14.59,4.21,4.14,3.4,6.85,11.33,2.2,6.03,12.23,0.87,7.05,0.59,8.37,1.74,10.53,7.36,12.04,0.88,11.64,10.46,13.15,4.38,6.65,3.99,10.81,14.1,7.8,7.26,0.89,6.89,12.68,12.53,13.4,3.61,12.56,7.9,0.14,0.48,0
e_carr_tenn,190,367613,2025-09-06,6.15,9.98,8.58,1.33,14.03,0.72,1.06,2.58,11.71,4.79,3.03,2.04,10.13,11.09,8.88,6.12,3.52,1.09,7.28,10.61,8.61,6.73,11.01,4.62,14.19,2.02,7.94,1.65,4.67,14.1,6.21,4.68,10.12,9.43,7.94,0.1,5.81,8.33,7.22,7.39,6.36,12.64,5.73,0.27,8.49,9.91,7.01,14.15,0.62,6.55,11.45,2.19,11.1,9.38,14.44,4.94,13.03,1.4,5.1,11.74,4.17,11.23,3.77,13.05,3.96,0.1,10.67,3.48,1.01,7.15,5.26,14.29,3.06,14.96,7.78,2.36,9.91,5.31,12.37,13.48,2.47,9.85,7.73,3.57,7.39,4.52,6.6,4.68,12.85,5.66,11.12,2.19,2.79,5.29,9.95,11.39,0
e_carr_tenn,190,238403,2025-09-06,14.76,8.14,8.17,7.39,9.12,5.26,7.57,3.95,6.84,5.57,14.24,0.58,9.49,6.32,1.42,4.02,2.47,5.23,13.61,8.4,7.3,9.16,3.38,0.03,5.9,8.18,14.03,4.42,8.67,8.71,0.32,12.81,9.82,2.7,13.32,0.78,4.19,11.31,2.6,4.3,2.31,12.66,14.58,1.7,0.8,2.56,10.0,7.92,8.97,0.6,8.72,5.95,10.99,3.5,4.72,12.6,2.9,9.04,2.33,9.37,10.0,4.3,10.22,6.25,0.55,9.03,6.19,12.7,13.43,4.45,10.71,7.12,9.12,8.0,13.87,9.87,0.59,4.6,5.89,6.16,4.91,7.76,6.75,14.25,9.32,11.23,7.02,6.41,14.15,4.24,1.96,6.57,7.93,3.09,12.3,10.18,0
